"Alue","1993 Valtionveronalaiset tulot € / henkilö","1994 Valtionveronalaiset tulot € / henkilö","1995 Valtionveronalaiset tulot € / henkilö","1996 Valtionveronalaiset tulot € / henkilö","1997 Valtionveronalaiset tulot € / henkilö","1998 Valtionveronalaiset tulot € / henkilö","1999 Valtionveronalaiset tulot € / henkilö","2000 Valtionveronalaiset tulot € / henkilö","2001 Valtionveronalaiset tulot € / henkilö","2002 Valtionveronalaiset tulot € / henkilö","2003 Valtionveronalaiset tulot € / henkilö","2004 Valtionveronalaiset tulot € / henkilö","2005 Valtionveronalaiset tulot € / henkilö","2006 Valtionveronalaiset tulot € / henkilö","2007 Valtionveronalaiset tulot € / henkilö","2008 Valtionveronalaiset tulot € / henkilö","2009 Valtionveronalaiset tulot € / henkilö","2010 Valtionveronalaiset tulot € / henkilö","2011 Valtionveronalaiset tulot € / henkilö","2012 Valtionveronalaiset tulot € / henkilö","2013 Valtionveronalaiset tulot € / henkilö","2014 Valtionveronalaiset tulot € / henkilö","2015 Valtionveronalaiset tulot € / henkilö","2016 Valtionveronalaiset tulot € / henkilö","2017 Valtionveronalaiset tulot € / henkilö"
"091 401 Maunulan peruspiiri",13447,13303,13726,14105,14675,15796,17651,17235,17716,18193,18752,19717,19270,20093,21185,21676,24678,22832,23353,23650,24343,24546,24776,25023,25335
"091 281 Pirkkola",15926,16110,17268,17580,17582,20644,20284,20467,22522,23517,24248,26909,25910,26026,28320,30850,33233,33979,34680,34987,36049,36369,35665,35127,34792
"091 282 Maunula",12542,12293,12715,13040,13517,14393,16437,15538,16216,16545,16988,17809,17467,18330,19389,19661,22897,20599,20983,21210,21779,22076,22480,22874,23227
"091 283 Metsälä",19949,20142,19867,20265,21943,23616,25100,27717,25903,27227,28087,29001,28245,29183,29737,30853,32430,31966,33823,34160,35667,35786,35420,34972,35753
"091 286 Maunulanpuisto",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 402 Länsi-Pakilan peruspiiri",18286,18267,18959,19677,20888,22295,26214,30994,26963,27858,29233,30868,31544,32344,35542,32536,33163,34245,35940,36220,37494,37948,38874,39037,40625
"091 341 Länsi-Pakila",18286,18267,18959,19677,20888,22295,26214,30994,26963,27858,29233,30868,31544,32344,35542,32536,33163,34245,35940,36220,37494,37948,38874,39037,40625
"091 403 Tuomarinkylän peruspiiri",15441,15807,16621,17019,17951,19259,21733,22921,23197,23908,24717,26291,26008,28250,29572,30128,30724,31113,32579,32822,33640,34881,35468,35886,36984
"091 351 Paloheinä",16690,16962,17804,18093,18981,20512,23458,24637,24693,25764,26291,28166,27621,30239,31361,31769,32040,32639,34299,34981,35949,37723,38323,38427,40253
"091 352 Torpparinmäki",12859,13403,14132,14663,15647,16450,17883,19082,19836,19973,21235,22174,22408,23760,25477,26445,27713,27530,28595,28076,28602,28795,29341,30329,29919
"091 354 Haltiala",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 404 Oulunkylän peruspiiri",15745,15326,15892,16571,16941,17746,19238,20730,20908,21607,22108,23310,23223,24711,25489,25603,27989,26613,27072,27845,28470,28820,29261,29356,29671
"091 284 Patola",15480,15072,15618,16181,16935,17883,19453,20621,21244,22120,22210,23062,23091,24711,26022,25858,28455,26704,27156,28090,28619,29120,29429,29623,29827
"091 285 Veräjämäki",16599,16149,16772,17821,16959,17446,22011,24638,23282,23733,25527,28171,27674,29257,28240,28794,30011,30020,30831,30999,32002,32285,33242,33083,33534
"091 287 Veräjälaakso",.,.,.,.,.,.,12260,13521,13990,14080,14537,15136,15207,15714,16606,17599,20642,19112,19007,19945,20337,19667,19801,19882,20242
"091 405 Itä-Pakilan peruspiiri",16525,17188,17812,18586,19636,20826,23767,24616,24378,25449,25860,27264,26738,28544,30296,30247,30845,32357,33510,35297,34599,34752,35548,35221,35517
"091 342 Itä-Pakila",17170,17867,18463,19331,20373,21588,24665,25483,25205,26345,26705,28086,27463,29271,31097,30962,31685,33400,34474,36297,35611,35673,36671,36125,36538
"091 353 Tuomarinkartano",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 5 Koillinen suurpiiri",12184,12343,12868,13249,13779,14539,15600,16836,16921,17404,17836,18519,18637,19683,20682,21473,23659,22404,22923,23590,23872,24150,24444,24565,25062
"091 501 Latokartanon peruspiiri",12064,12124,12400,12763,13158,13653,14590,15154,15610,16122,16487,17232,17747,18673,19639,20322,23157,21225,21645,22273,22459,22697,23126,23247,23506
"091 361 Viikinranta",13017,13556,14015,14516,14887,16312,18118,18940,20027,21026,21693,21683,29763,30947,34854,34411,36658,36283,37454,36799,37208,37818,38737,38371,38702
"091 362 Latokartano",8310,8140,8323,7367,8739,9515,11297,12655,14393,15672,16165,17538,17534,18867,19333,20458,22996,20916,21575,22175,22429,22470,23018,23230,23651
"091 363 Viikin tiedepuisto",.,.,.,.,.,.,9720,11183,10517,11541,11163,10861,11113,12241,12287,12773,18610,13159,14604,16012,15800,16190,16460,16428,16760
"091 364 Viikinmäki",.,.,.,.,.,.,..,..,15757,15055,15682,16522,19502,19767,21035,21766,24417,22228,23043,23278,23928,24296,24425,24801,24904
"091 383 Pihlajamäki",12176,12245,12553,12924,13362,13973,15136,15760,16019,16647,17020,17729,17731,18425,19316,19545,22101,20311,20713,21291,21260,21435,21673,21940,21992
"091 386 Pihlajisto",.,.,.,.,.,.,14429,15421,15933,15886,16343,16667,16853,17497,18337,18802,21650,20408,19703,20488,20691,21254,21812,20968,21202
"091 502 Pukinmäen peruspiiri",12390,12426,12861,13369,13795,14580,15452,16629,16899,17630,18304,18803,18590,20021,20722,21258,23853,22084,22697,23115,23222,23256,23697,23408,23216
"091 370 Pukinmäki",12390,12426,12861,13369,13795,14580,15452,16629,16899,17630,18304,18803,18590,20021,20722,21258,23853,22084,22697,23115,23222,23256,23697,23408,23216
"091 503 Malmin peruspiiri",12402,12712,13281,13637,14142,15053,16243,17532,17596,18136,18428,18990,19108,20200,21573,22451,24484,23613,24128,24695,25189,25465,25629,25883,26162
"091 381 Ylä-Malmi",11511,11687,12002,12371,12858,13586,15094,16047,15501,16180,16344,16712,16777,17729,18749,19511,22126,20360,20736,20981,21398,21274,21335,21365,21719
"091 382 Ala-Malmi",10835,10973,11292,11754,12195,12822,13395,14172,14822,14926,15311,15951,16099,16779,17865,18781,21225,19415,20372,21026,21411,21758,21325,21036,21351
"091 384 Tattariharju",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 385 Malmin lentokenttä",13719,14007,14816,15151,16081,17008,18098,25317,20723,20522,17417,17691,18057,19557,20612,21884,23635,23117,23354,24202,24830,24653,24968,25980,25917
"091 391 Tapaninvainio",14441,14910,15893,16107,16584,17666,19301,20526,20910,21674,22361,23170,23203,24652,26357,27082,28345,29000,29508,30175,30818,31029,31493,31893,32648
"091 392 Tapanila",11816,12180,12587,13081,13604,14741,15476,16692,17378,17930,18517,19115,19211,20077,21776,22770,24949,23845,24383,25123,25637,26467,26875,27483,27061
"091 504 Suutarilan peruspiiri",11967,12025,12770,13042,13747,14476,15482,16408,17061,17413,18016,18621,18753,20021,20835,21771,23436,22519,23204,23915,24386,24649,24878,25184,25609
"091 401 Siltamäki",12365,12363,13140,13399,13971,14701,15761,16524,17284,17432,18031,18508,18733,19574,20574,21372,23178,21997,21905,22577,22961,23148,23446,23785,24071
"091 403 Töyrynummi",11373,11537,12251,12535,13431,14160,15107,16253,16766,17387,17996,18768,18781,20622,21182,22302,23788,23237,26047,26915,27604,28068,28145,28381,29254
"091 505 Puistolan peruspiiri",12539,12772,13329,13809,14539,15378,16637,18663,18103,18542,19029,20039,20055,21014,21968,22934,24614,23955,24559,25394,25653,25965,26277,26193,27907
"091 402 Tapulikaupunki",11301,11430,11889,12266,12851,13571,14551,15502,16105,16664,16961,17637,17890,18654,19732,20464,22536,21891,21823,22656,22905,23234,23265,23016,26272
"091 411 Puistola",13749,14150,14747,15289,16085,17126,18182,19462,20478,20674,21374,22425,22303,23600,24413,25793,27254,26401,27370,28604,29080,29507,30298,30455,31032
"091 412 Heikinlaakso",13832,14050,14812,15299,16246,16734,19226,25991,18771,19295,19643,21515,21095,21933,22841,23609,24603,24809,26742,26827,27331,27554,28112,27911,28347
"091 413 Tattarisuo",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20318,..,..,..,..,..,..,..
"091 415 Alppikylä",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20294,20560,20160,20443,21759,22353,23252
"091 506 Jakomäen peruspiiri",10611,10508,10899,11095,11213,11594,12149,12888,13020,13386,13700,14151,14110,14779,15229,15769,18432,16042,16437,17289,17077,17356,17596,17816,17764
"091 414 Jakomäki",10611,10508,10899,11095,11213,11594,12149,12888,13020,13386,13700,14151,14110,14779,15229,15769,18432,16042,16437,17289,17077,17356,17596,17816,17764
"091 6 Kaakkoinen suurpiiri",15270,15430,15946,16215,17159,18137,20725,22203,22051,22712,23819,25289,23534,25550,29165,27522,29032,28103,28903,28825,29451,29984,30756,30554,31547
"091 601 Kulosaaren peruspiiri",24154,22668,24330,24931,29381,32679,42815,42280,38931,40704,44493,47451,36168,41176,47329,46558,42786,44031,48397,44921,46962,47553,52493,46267,47914
"091 190 Mustikkamaa-Korkeasaari",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 420 Kulosaari",24213,22704,24369,24975,29501,32796,43008,42456,39090,40879,44690,47611,36271,41323,47497,46686,42886,44138,48513,44993,47042,47660,52632,46386,47978
"091 602 Herttoniemen peruspiiri",13859,14168,14300,14469,15039,15828,17491,18819,19492,19946,21000,21879,21179,22792,23954,24179,26695,25071,25616,26016,26501,26900,27267,28195,28758
"091 431 Länsi-Herttoniemi",13557,13630,13813,13900,14481,15276,17013,17463,18015,18251,18800,19350,19462,20267,21542,21888,25025,22855,23073,23968,24558,25593,25125,25506,26169
"091 432 Roihuvuori",12457,12349,12665,13141,13499,14274,14915,15791,16281,16826,17208,17482,17557,18642,19574,19766,22466,20333,20471,21077,21243,21556,21760,22159,22514
"091 433 Herttoniemen yritysalue",9654,9362,9275,9640,10347,11444,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27276,28062,27626,27878,30142
"091 434 Herttoniemenranta",..,12676,11482,11274,12159,12661,13895,16558,17954,18722,19488,20822,20491,21881,23166,24653,27102,25383,26130,26379,26836,26948,27204,27255,28106
"091 440 Tammisalo",21465,24646,25593,26953,29195,31994,38666,42060,42768,42855,48797,51099,43177,49874,50926,45913,45970,48552,50804,49555,50040,49663,54526,62896,62650
"091 603 Laajasalon peruspiiri",14925,15282,16088,16528,17254,18147,20504,22808,22330,23115,23615,25636,24379,26343,33261,28507,29620,29320,29774,29689,30316,31071,31664,30861,32304
"091 480 Vartiosaari",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 491 Yliskylä",15376,15646,16289,16923,17410,18195,20569,22942,21664,22296,22634,24228,23626,24697,25949,25969,27353,27017,26962,27449,27876,28634,28704,28189,28639
"091 492 Jollas",14758,15398,16132,16664,18429,19280,22051,24863,24573,27040,27768,31183,27289,30512,37380,34416,38351,37817,40117,37901,38749,40010,42297,40559,47611
"091 493 Tullisaari",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28084,28624
"091 494 Kruunuvuorenranta",..,..,..,20830,22566,25935,31465,33250,47046,40141,33537,38874,36506,59400,267779,67771,37615,43201,43500,38995,43595,41829,45493,43692,44455
"091 495 Hevossalmi",12717,13296,15253,14266,14905,16232,17742,19198,20119,20302,22517,24283,23187,24224,26564,26840,27872,27172,27899,29142,29469,30123,30703,31331,31328
"091 500 Villinki",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 510 Santahamina",11663,11781,12624,13176,13208,13849,14179,15500,16614,17678,17703,18834,19478,20648,22853,23588,24982,24434,25321,25815,26702,25932,26720,26975,27277
"091 532 Itäsaaret",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 7 Itäinen suurpiiri",12446,12262,12638,12960,13500,14196,15152,16375,16401,16824,17327,18093,18028,19081,20018,20546,22547,21395,21715,22145,22623,22845,22902,22960,23166
"091 701 Vartiokylän peruspiiri",13955,13967,14491,15031,16104,16873,18200,20623,19583,19917,20488,21613,21085,22538,23456,23932,25331,24873,25195,25131,26336,26318,26336,26570,26748
"091 451 Vartioharju",14217,14447,15025,15610,16588,17424,18875,20256,20841,21400,22337,23673,23437,25006,26809,28730,27897,28149,29303,29336,30475,31610,31535,31807,32079
"091 452 Puotila",13744,13602,13932,14650,15234,16044,16833,17357,18098,18230,18036,18631,18645,19927,20558,20986,23403,21500,22004,22227,22457,22755,22964,22829,22901
"091 453 Puotinharju",13207,12906,13058,13284,13792,14474,15130,15808,16460,16765,17130,17660,17850,18612,19368,19850,22236,21114,21295,20873,21372,21549,21121,21209,21527
"091 455 Marjaniemi",14370,14500,15360,24064,28723,31426,38164,57152,39185,39165,41432,45561,39760,44178,43971,39984,40268,46184,44546,42846,51273,46933,47311,49939,50846
"091 456 Roihupelto",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 457 Itäkeskus",.,.,.,11591,11872,12428,12808,13751,14295,14569,14978,15455,15501,16209,16764,17471,20286,18367,18254,18824,19109,19101,19174,18891,18889
"091 702 Myllypuron peruspiiri",12388,12140,12626,12908,13241,13857,14748,15770,15860,16452,16859,17214,17271,18491,19394,19652,21633,21030,21345,21880,22313,22530,22704,22959,23610
"091 454 Myllypuro",12388,12140,12626,12908,13241,13857,14748,15770,15860,16452,16859,17214,17271,18491,19394,19652,21633,21030,21345,21880,22313,22530,22704,22959,23610
"091 703 Mellunkylän peruspiiri",11537,11320,11723,11942,12348,13021,13815,14571,14934,15261,15764,16351,16217,16821,17853,18352,20607,19049,19357,19910,20080,20299,20407,20240,20238
"091 471 Kontula",11796,11570,11886,12220,12626,13259,14724,15219,15361,15628,15900,16675,16244,16712,17730,18102,20363,18934,19039,19631,19622,19718,19640,19449,19295
"091 472 Vesala",10693,10616,11174,11714,12074,12855,13542,14678,15033,15273,16009,16118,16215,16879,17766,18531,20743,19133,19824,20444,20613,21140,21199,21454,21372
"091 473 Mellunmäki",12381,12361,13167,12925,13448,14206,14666,15572,16176,16680,17481,18234,18049,18901,20373,20513,22645,21389,21420,21964,22315,22437,22867,22469,22722
"091 474 Kivikko",6441,7101,7997,8139,8406,8812,9894,11128,12185,12604,13156,13850,13958,14567,15306,15997,18448,16281,16739,17253,17493,17837,18072,17876,18200
"091 475 Kurkimäki",.,.,.,.,.,.,12313,12871,13451,13779,13992,14603,14935,15350,15984,17022,19410,17422,18054,18351,18585,18708,18756,18408,18229
"091 704 Vuosaaren peruspiiri",12593,12354,12541,12890,13290,13901,14758,15686,16076,16649,17114,17993,18266,19487,20361,20993,23097,21823,22183,22724,23091,23462,23450,23586,23901
"091 541 Keski-Vuosaari",14069,14147,14554,14953,15504,16167,15912,16507,16967,17069,17507,18244,18221,18942,19964,20414,22395,21237,21714,22443,22880,23118,23036,23291,23717
"091 542 Nordsjön kartano",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 543 Uutela",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 544 Meri-Rastila",9437,9515,9881,10320,10614,11252,11992,12840,13220,13112,13363,14025,14541,15045,16239,17068,19535,17936,18085,18321,18727,18917,19219,19479,19781
"091 545 Kallahti",9391,9526,9962,10363,10809,11390,12085,13633,14007,14342,14314,14486,14879,15332,15975,16621,19323,17207,17411,17421,17897,17947,17798,17752,18063
"091 546 Aurinkolahti",.,.,.,.,.,.,..,..,22620,27917,25793,26549,26549,29923,28422,28388,30157,29262,30076,30462,30516,31039,30944,30631,30566
"091 547 Rastila",.,.,.,.,.,.,23058,21657,19880,20672,20938,21993,21689,22856,23628,25010,26151,25600,25361,25684,25639,26426,26014,26235,26569
"091 548 Niinisaari",.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 549 Mustavuori",.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 8 Östersundomin suurpiiri",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37766,34102,34974,41180,36979,42279,44036,47900,47072,49053
"091 801 Östersundomin peruspiiri",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37766,34102,34974,41180,36979,42279,44036,47900,47072,49053
"091 550 Östersundom",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29961,29376,33455,37815,32708,34580,36668,34855,35711,35193
"091 560 Salmenkallio",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..
"091 570 Talosaari",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..
"091 580 Karhusaari",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,54621,42541,43734,56281,46515,54840,58089,55797,61135,58856
"091 591 Landbo",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29155,28098,28692,32324,30759,32775,33389,35048,35950,40055
"091 592 Puroniitty",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,..,..,..,..,..,..,..,..,..,..
"091 999 Muut",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"091 998 Kantakaupunki",15577,15739,16284,16966,18164,19749,22312,25121,24664,25088,25962,28064,26357,27556,29442,29739,31492,30102,31556,31791,33810,34714,35032,35002,36839
"091 997 Esikaupungit",13909,13951,14449,14918,15697,16744,18364,19762,19619,20105,20691,21714,21227,22475,23884,24200,25808,24820,25698,26125,26621,25648,27490,27688,28197
